artist,count,popularity,tempo,loudness,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
"""Cats"" 1983 Broadway Cast",26,30.57692307692308,103.04415384615385,-10.69,0.8625384615384617,0.4417307692307693,0.4068076923076923,0.0811582642307692,0.3152153846153846,0.1762115384615384,0.2688653846153846
"""Fiddler On The Roof” Motion Picture Chorus",7,34.857142857142854,77.37585714285714,-15.230714285714283,0.8565714285714285,0.3482857142857142,0.2865714285714285,0.0245929485714285,0.3257857142857143,0.1185142857142857,0.3548571428571429
"""Fiddler On The Roof” Motion Picture Orchestra",27,34.85185185185185,88.66762962962959,-15.639370370370369,0.884925925925926,0.4250740740740739,0.2457703703703704,0.0735872792592592,0.2754814814814815,0.1232,0.3720296296296296
"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast",36,32.77777777777778,118.64894444444442,-18.26638888888889,0.6095555555555557,0.4872777777777778,0.3099055555555556,0.0046956566666666,0.2747666666666666,0.0980222222222221,0.4415555555555557
"""Weird Al"" Yankovic",122,34.22950819672131,133.03118032786878,-9.768704918032787,0.1731450819672131,0.6627868852459013,0.6953934426229511,4.980262295081966e-05,0.1611016393442622,0.0845360655737704,0.7513442622950824
$uicideBoy$,125,61.8,115.02202400000009,-6.631303999999997,0.14148488,0.749344,0.635552,0.0456750955199999,0.2022527999999999,0.156108,0.2872856
'In The Heights' Original Broadway Company,13,47.69230769230769,117.00684615384613,-8.338461538461537,0.6247692307692306,0.5636153846153845,0.4576923076923078,8.692307692307694e-06,0.2043846153846154,0.1524538461538461,0.4675384615384614
'Legally Blonde' Ensemble,9,48.66666666666666,114.80844444444443,-11.45977777777778,0.5538888888888889,0.6484444444444446,0.4411111111111111,2.544444444444445e-05,0.2146666666666666,0.4951111111111112,0.5247777777777778
'Til Tuesday,16,34.625,103.08025000000002,-9.638125,0.10555625,0.557125,0.61225,0.0233002525,0.1275875,0.03215,0.532625
(Hed) P.E.,10,45.8,134.9694,-5.2598,0.0116313999999999,0.5891999999999998,0.8792,2.026e-06,0.17112,0.17214,0.4270000000000001
*NSYNC,105,45.371428571428574,115.61588571428572,-6.273800000000001,0.1916107428571427,0.6087428571428571,0.6944285714285712,0.0027032102857142,0.20286,0.0571380952380952,0.5647809523809525
+44,8,43.5,168.37124999999995,-4.26175,0.01281645,0.4515000000000001,0.88325,2.4e-06,0.1507,0.0790749999999999,0.39125
10 Years,14,48.71428571428572,150.52271428571433,-5.050857142857142,0.1108588428571428,0.4084285714285714,0.7488571428571428,0.0002331785714285,0.1529857142857143,0.0448857142857142,0.3287142857142857
"10,000 Maniacs",42,37.0,118.4760952380952,-13.288047619047616,0.1908328571428572,0.5844761904761905,0.5420761904761905,0.0087604042857142,0.2297047619047619,0.0378523809523809,0.5738095238095238
